subjid,sceneid,sceneorder,schema,desc,cleaned,pattern,pattern (normalised order),
33,11,11,A,yellow ball on top of the red cube,yellow ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
33,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
33,13,13,C,small red ball on top of the yellow cube,small red ball on-top-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
33,14,14,D,the smaller green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
33,15,15,E,yellow cube on top of the red cube,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
33,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
33,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
33,18,18,C,small red ball in front of the yellow cube,small red ball in-front-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
33,19,19,D,smaller green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
33,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
34,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
34,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
34,3,3,C,small blue ball that is on top of the green box,small blue ball on-top-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
34,4,4,D,smaller yellow box,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
34,5,5,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
34,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
34,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
34,8,8,C,smaller blue ball that is in front of the green box,small blue ball in-front-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
34,9,9,D,small red box,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
34,10,10,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
35,11,11,A,ball,ball,tg_type,tg_type,
35,12,12,B,ball,ball,tg_type,tg_type,
35,13,13,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
35,14,14,D,small green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
35,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
35,16,16,A,ball,ball,tg_type,tg_type,
35,17,17,B,ball,ball,tg_type,tg_type,
35,18,18,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
35,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
35,20,20,E,red box,red cube,tg_col tg_type,tg_col tg_type,
36,1,1,A,ball sitting on the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
36,2,2,B,ball in front of the cube,ball in-front-of cube,tg_type rel lm_type,tg_type rel lm_type,
36,3,3,C,small ball on the cube,small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
36,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
36,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
36,6,6,A,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
36,7,7,B,ball on the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
36,8,8,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
36,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
36,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
37,11,11,A,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
37,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
37,13,13,C,small red ball on the box,small red ball on-top-of cube,tg_size tg_col tg_type rel lm_type,tg_size tg_col tg_type rel lm_type,
37,14,14,D,smaller green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
37,15,15,E,yellow box on the red box,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
37,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
37,17,17,B,blue ball on the green box,blue ball on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
37,18,18,C,smaller red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
37,19,19,D,smaller green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
37,20,20,E,red box in front of the yellow box,red cube in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
38,1,1,A,green ball atop the blue cube on my right.,green ball on-top-of blue right-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
38,2,2,B,red sphere.,red ball,tg_col tg_type,tg_col tg_type,
38,3,3,C,smaller of the two blue balls,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
38,4,4,D,smaller of the yellow cubes,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
38,5,5,E,blue cube atop the green cube.,blue cube on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
38,6,6,A,green sphere on my left.,green left-hand ball,tg_col tg_loc tg_type,tg_col tg_loc tg_type,
38,7,7,B,yellow sphere atop the red cube,yellow ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
38,8,8,C,smaller of the two blue spheres.,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
38,9,9,D,smaller of the red cubes.,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
38,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
39,11,11,A,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
39,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
39,13,13,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
39,14,14,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
39,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
39,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
39,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
39,18,18,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
39,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
39,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
40,1,1,A,ball,ball,tg_type,tg_type,
40,2,2,B,ball (in front of the yellow cube),ball in-front-of yellow cube,tg_type rel lm_col lm_type,tg_type rel lm_col lm_type,
40,3,3,C,small ball on top of the cube,small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
40,4,4,D,the small yellow cube ,small yellow cube ,tg_size tg_col tg_type ,tg_size tg_col tg_type,
40,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
40,6,6,A,ball,ball,tg_type,tg_type,
40,7,7,B,ball,ball,tg_type,tg_type,
40,8,8,C,small ball in front of the cube,small ball in-front-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
40,9,9,D,small red cube on top of the big red cube,small red cube on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
40,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
41,11,11,A,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
41,12,12,B,ball,ball,tg_type,tg_type,
41,13,13,C,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
41,14,14,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
41,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
41,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
41,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
41,18,18,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
41,19,19,D,little green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
41,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
42,1,1,A,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
42,2,2,B,ball in front of the yellow cube,ball in-front-of yellow cube,tg_type rel lm_col lm_type,tg_type rel lm_col lm_type,
42,3,3,C,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
42,4,4,D,small yellow cube in front of the larger yellow cube,small yellow cube in-front-of large yellow cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
42,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
42,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
42,7,7,B,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
42,8,8,C,smaller blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
42,9,9,D,smaller red box,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
42,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
44,1,1,A,green ball from on top of the blue cube,green ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
44,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
44,3,3,C,the small blue ball on top of the green cube,small blue ball on-top-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
44,4,4,D,the small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
44,5,5,E,blue cub from on top of the green cube,blue cube on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
44,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
44,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
44,8,8,C,the small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
44,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
44,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
45,11,11,A,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
45,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
45,13,13,C,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
45,14,14,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
45,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
45,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
45,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
45,18,18,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
45,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
45,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
46,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
46,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
46,3,3,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
46,4,4,D,small yellow box,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
46,5,5,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
46,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
46,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
46,8,8,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
46,9,9,D,small red box,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
46,10,10,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
47,11,11,A,ball on top of the box,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
47,12,12,B,ball,ball,tg_type,tg_type,
47,13,13,C,ball on top of the box,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
47,14,14,D,smaller green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
47,15,15,E,yellow box,yellow cube,tg_col tg_type,tg_col tg_type,
47,16,16,A,ball,ball,tg_type,tg_type,
47,17,17,B,ball,ball,tg_type,tg_type,
47,18,18,C,ball beside the box,ball beside cube,tg_type rel lm_type,tg_type rel lm_type,
47,19,19,D,smaller green box on top of the larger one,small green cube on-top-of large cube,tg_size tg_col tg_type rel lm_size lm_type,tg_size tg_col tg_type rel lm_size lm_type,
47,20,20,E,red box,red cube,tg_col tg_type,tg_col tg_type,
48,1,1,A,small green ball on top of the blue cube on the right,small green ball on-top-of blue right-hand cube,tg_size tg_col tg_type rel lm_col lm_loc lm_type,tg_size tg_col tg_type rel lm_col lm_loc lm_type,
48,2,2,B,small red ball on the left that is located in front of the large yellow cube,small red left-hand ball in-front-of large yellow cube,tg_size tg_col tg_tg_loc tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_loc tg_type rel lm_size lm_col lm_type,
48,3,3,C,small blue ball on the right that is on top of the large green cube on the right,small blue right-hand ball on-top-of large green right-hand cube,tg_size tg_col tg_tg_loc tg_type rel lm_tg_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_loc tg_type rel lm_size lm_col lm_loc lm_type,
48,4,4,D,small yellow cube on the left that is in front of the large yellow cube on the left,small yellow left-hand cube in-front-of large yellow left-hand cube,tg_size tg_col tg_tg_loc tg_type rel lm_tg_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_loc tg_type rel lm_size lm_col lm_loc lm_type,
48,5,5,E,small blue cube on the right stacked on top of the small green cube on the right,small blue right-hand cube on-top-of small green right-hand cube,tg_size tg_col tg_tg_loc tg_type rel lm_tg_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_loc tg_type rel lm_size lm_col lm_loc lm_type,
48,6,6,A,small green ball in front of the large blue cube on the left,small green ball in-front-of large blue left-hand cube,tg_size tg_col tg_type rel lm_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_type rel lm_size lm_col lm_loc lm_type,
48,7,7,B,small yellow ball on top of the large red cube on the right,small yellow ball on-top-of large red right-hand cube,tg_size tg_col tg_type rel lm_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_type rel lm_size lm_col lm_loc lm_type,
48,8,8,C,small blue ball in front of the medium green cube on the left,small blue ball in-front-of large green left-hand cube,tg_size tg_col tg_type rel lm_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_type rel lm_size lm_col lm_loc lm_type,
48,9,9,D,small red cube stacked on the large red cube on the right,small red cube on-top-of large red right-hand cube,tg_size tg_col tg_type rel lm_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_type rel lm_size lm_col lm_loc lm_type,
48,10,10,E,small blue cube in front of the small green cube on the left,small blue cube in-front-of small green left-hand cube,tg_size tg_col tg_type rel lm_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_type rel lm_size lm_col lm_loc lm_type,
49,11,11,A,ball,ball,tg_type,tg_type,
49,12,12,B,ball,ball,tg_type,tg_type,
49,13,13,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
49,14,14,D,small green square,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
49,15,15,E,yellow square,yellow cube,tg_col tg_type,tg_col tg_type,
49,16,16,A,ball,ball,tg_type,tg_type,
49,17,17,B,ball,ball,tg_type,tg_type,
49,18,18,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
49,19,19,D,small green square,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
49,20,20,E,red square,red cube,tg_col tg_type,tg_col tg_type,
51,11,11,A,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
51,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
51,13,13,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
51,14,14,D,little green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
51,15,15,E,gold cube,yellow cube,tg_col tg_type,tg_col tg_type,
51,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
51,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
51,18,18,C,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
51,19,19,D,little green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
51,20,20,E,little red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
52,1,1,A,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
52,2,2,B,ball in front of the cube,ball in-front-of cube,tg_type rel lm_type,tg_type rel lm_type,
52,3,3,C,small ball on top of the cube,small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
52,4,4,D,small yellow cube infront of the larger cube,small yellow cube in-front-of large cube,tg_size tg_col tg_type rel lm_size lm_type,tg_size tg_col tg_type rel lm_size lm_type,
52,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
52,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
52,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
52,8,8,C,small blue cube in front of the green cube,small blue cube in-front-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
52,9,9,D,small red cube on top of the large red cube,small red cube on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
52,10,10,E,small blue cube,small blue cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
53,11,11,A,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
53,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
53,13,13,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
53,14,14,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
53,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
53,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
53,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
53,18,18,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
53,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
53,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
54,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
54,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
54,3,3,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
54,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
54,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
54,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
54,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
54,8,8,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
54,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
54,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
55,11,11,A,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
55,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
55,13,13,C,smaller ball,small ball,tg_size tg_type,tg_size tg_type,
55,14,14,D,smaller green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
55,15,15,E,top cube,top cube,tg_loc tg_type,tg_loc tg_type,
55,16,16,A,ball,ball,tg_type,tg_type,
55,17,17,B,ball,ball,tg_type,tg_type,
55,18,18,C,smaller ball,small ball,tg_size tg_type,tg_size tg_type,
55,19,19,D,smaller cube,small cube,tg_size tg_type,tg_size tg_type,
55,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
56,1,1,A,ball on the cube to the right,ball on-top-of right-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
56,2,2,B,ball,ball,tg_type,tg_type,
56,3,3,C,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
56,4,4,D,small cube in front of the big cube,small cube in-front-of large cube,tg_size tg_type rel lm_size lm_type,tg_size tg_type rel lm_size lm_type,
56,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
56,6,6,A,ball,ball,tg_type,tg_type,
56,7,7,B,ball on top of the big red cube,ball on-top-of large red cube,tg_type rel lm_size lm_col lm_type,tg_type rel lm_size lm_col lm_type,
56,8,8,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
56,9,9,D,red cube on top of the big cube,red cube on-top-of large cube,tg_col tg_type rel lm_size lm_type,tg_col tg_type rel lm_size lm_type,
56,10,10,E,blue cube in the front,blue front cube,tg_col tg_loc tg_type,tg_col tg_loc tg_type,
57,11,11,A,yellow  ball on the left red cube,yellow ball on-top-of left-hand red cube,tg_col tg_type rel lm_loc lm_col lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
57,12,12,B,blue ball in front of the green cube,blue ball in-front-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
57,13,13,C,small red ball on top of the yellow cube,small red ball on-top-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
57,14,14,D,small green cube in front of the larger green cube,small green cube in-front-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
57,15,15,E,yellow cube on top of the red cube,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
57,16,16,A,red ball in front of the right yellow cube,red ball in-front-of right-hand yellow cube,tg_col tg_type rel lm_loc lm_col lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
57,17,17,B,blue ball on top of the green cube,blue ball on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
57,18,18,C,red ball in front of the yellow cube,red ball in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
57,19,19,D,small green cube on top of the larger green cube,small green cube on-top-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
57,20,20,E,red cube in front of the yellow cube,red cube in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
58,1,1,A,ball on top of the cube on the right,ball on-top-of right-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
58,2,2,B,ball in front of the cube.,ball in-front-of cube,tg_type rel lm_type,tg_type rel lm_type,
58,3,3,C,the ball on top of the cube.,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
58,4,4,D,the small yellow cube in front of the large yellow cube,small yellow cube in-front-of large yellow cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
58,5,5,E,blue cube on top of the green cube,blue cube on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
58,6,6,A,ball in front of the cube on the left,ball in-front-of left-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
58,7,7,B,ball on top of the large cube,ball on-top-of large cube,tg_type rel lm_size lm_type,tg_type rel lm_size lm_type,
58,8,8,C,the small ball in front of the cube,small ball in-front-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
58,9,9,D,small red cube on top of the large red cube,small red cube on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
58,10,10,E,blue cube in front of the green cube,blue cube in-front-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
59,11,11,A,ball,ball,tg_type,tg_type,
59,12,12,B,ball,ball,tg_type,tg_type,
59,13,13,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
59,14,14,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
59,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
59,16,16,A,ball,ball,tg_type,tg_type,
59,17,17,B,ball,ball,tg_type,tg_type,
59,18,18,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
59,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
59,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
60,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
60,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
60,3,3,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
60,4,4,D,small yellow box,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
60,5,5,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
60,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
60,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
60,8,8,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
60,9,9,D,small red box,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
60,10,10,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
61,11,11,A,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
61,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
61,13,13,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
61,14,14,D,small green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
61,15,15,E,yellow box,yellow cube,tg_col tg_type,tg_col tg_type,
61,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
61,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
61,18,18,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
61,19,19,D,small green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
61,20,20,E,red box,red cube,tg_col tg_type,tg_col tg_type,
63,11,11,A,an orange sphere on top of the red quare,yellow ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
63,12,12,B,blue ball in front of the green cube,blue ball in-front-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
63,13,13,C,pick up the small red ball on top of the yellow square,small red ball on-top-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
63,14,14,D,small green box in front of the bigger green box,small green cube in-front-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
63,15,15,E,pick up the yellow cube on top of the red cube,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
63,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
63,17,17,B,blue ball on top of the green box,blue ball on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
63,18,18,C,pick up the small red ball in front of the yellow cube,small red ball in-front-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
63,19,19,D,pick up the small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
63,20,20,E,pick up the red cube,red cube,tg_col tg_type,tg_col tg_type,
